D1-D2,1N4750A|ZPD27,Vishay|Diotec,(DO-41|DO-204-AL|SOD66)|(DO-35|SOD27)
D3-D10,1N4001,Diotec|Comchip,(DO-42-2|SOD81)|(DO-41|DO-204-AL|SOD66)
D11-D12,1N5822,STMicro|Vishay,DO-201-AD
D13-D14,KBP204G|D2UB60,Diotec|Yangjie,**KBP
D17-D20+D23-D24,ZPY75|(1N4761A|BZX85C75),Diotec|Vishay,DO-41
D21-D22,BZX79C10|TZX10DR|ZPD10B,Onsemi|Vishay|Diotec,DO-35
C1-C2,CK45-E3AD103ZYGNA|CCH-10N/2000V,TDK|SRPassives,D11.5mm_P7.5mm
C3-C4,B32529C104J|R82DC3100DQ50J,TDK|Kemet|SRPassives,W2.5xL7.2mm_P5mm
C5,860020672007|ESH335M050AC3AA,Wurth|Kemet,D5mm_P2mm
C6-C8,K104K15X7RF53L2|B32529C104J,Vishay|EPCOS,W2.6xL4mm_P2.5mm|W2.6xL4mm_P5mm
F1-F2,0PTF0078P|FC-203-22|0751.0052,Littelfuse|BelFuse|Schurter,**LTF|**BEL
R*,*,*,D3.2xL9mm
RV1-RV2,B72207S0251K101,TDK,D7mmxP5mm
